RiskNoX Antivirus Scan Report
========================================
Scan Path: C:\Users
Started: 2025-09-27 15:17:19.386320
Completed: 2025-09-27 15:38:11.182716
Duration: 1251.8 seconds
Files Scanned: 146734
Threats Found: 2461

THREATS DETECTED:
--------------------
C:\Users\ANANDHU\test.ps1: Test.Virus.Signature
C:\Users\ANANDHU\test.ps1: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-postgresql-flexible\dist-esm\test\sampleTest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-postgresql-flexible\dist-esm\test\sampleTest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-resources-subscriptions\dist-esm\test\subscriptions_operations_test.spec.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-resources-subscriptions\dist-esm\test\subscriptions_operations_test.spec.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-subscriptions\dist-esm\test\sampleTest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\@azure\arm-subscriptions\dist-esm\test\sampleTest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\buffer-equal-constant-time\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\buffer-equal-constant-time\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\has-symbols\test\tests.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\has-symbols\test\tests.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\has-tostringtag\test\tests.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\has-tostringtag\test\tests.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\jake\lib\test_task.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\jake\lib\test_task.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\lockfile\speedtest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\lockfile\speedtest.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\object-inspect\test-core-js.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\object-inspect\test-core-js.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\object-inspect\test\quoteStyle.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\object-inspect\test\quoteStyle.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pend\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pend\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_css.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_css.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_json.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_json.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_sql.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_sql.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_xml.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\pretty-data\test\test_xml.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\proxy-from-env\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\proxy-from-env\test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\tmp\test\dir-sync-test.js: Test.Virus.Signature
C:\Users\ANANDHU\.vscode\extensions\ms-ossdata.vscode-pgsql-1.8.0\node_modules\tmp\test\dir-sync-test.js: Test.Virus.Signature
